org,date,position_summary,quote,doc_url,source_page
State of Arizona,,"Objects to the proposed Ak-Chin allocation, arguing most tribal needs should be met by sources other than the CAP and that CAP water should remain for non-Indian users.","The State of Arizona has objected to the proposed Ak-Chin allocation, claiming that most of the tribe's needs set forth in the Settlement Act should be met by sources other than the CAP",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"STATE OF CALIFORNIA – CALIFORNIA NATURAL RESOURCES AGENCY GAVIN NEWSOM, Governor DEPARTMENT OF WATER RESOURCES",2023-08-15,"Requests shorter guideline terms or stronger re-opener provisions, improved forecasting and modeling, evaluation of Reclamation authorities (e.g., voluntary water banks), expanded access to federal storage, and federal commitment to modernize infrastructure to increase resilience.","We recommend that Reclamation fully evaluate its authorities to employ techniques it has used elsewhere (e.g., the Klamath Project) to help users manage shortages, such as voluntary water banks.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
State of New Mexico,,"Requests Post-2026 Operations improve Colorado River stability, account for increased hydrologic variability from climate change, protect storage at Powell and Mead, reduce Lower Basin/Mexico imbalances, and emphasize effects of actual hydrology while limiting reliance on forecasts.",Post-2026 Operations need to improve the stability of the Colorado River system and ensure that stability into the future.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_S-Z_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
STATE OF NEW MEXICO,2023-08-15,"Requests a narrow EIS scope limited to coordinated operations of Lakes Powell and Mead; recommends using lessons from 2007 Guidelines, accounting for evaporation and system losses, planning for varied hydrology, ensuring flexibility, periodic review, best available science, and Tribal inclusion.","""The scope of the EIS should be limited to the coordinated operations of Lake Powell and Lake Mead.""",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_S-Z_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
State of Utah,,"Urges Post-2026 Criteria to require earlier, meaningful Lower Basin reductions; protect Lake Powell releases from Lower Basin operations; treat conservation actions as neutral; base operations on actual hydrology and storage; protect Upper Basin consumptive uses; and engage Tribes and Basin States.",Utah will not support a No Action Alternative for the Post-2026 EIS that extends the 2007 Interim Guidelines or the 2019 DCP.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"State of Utah, Department of Natural Resources, Division of Water Resources",2020-11-13,"Requests stronger evaluation of impacts on the Upper Basin and Lake Powell, including assessing reduced water available for Upper Basin development, applying 2008–2019 hydrology to the 2007 model for comparison, clarifying figures, and continued state consultation.",We recommend that actual 2008 to 2019 hydrology be applied to the 2007 version of the Colorado River System Simulation and compared with observed results.,https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_UDWR.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/7dreport/draftreport.html
"States of Colorado, New Mexico, Utah, and Wyoming (Upper Division States), Upper Colorado River Commission (UCRC)",2023-12-11,"Requests Reclamation make Lower Basin reductions mandatory and enforceable (3.0 maf by 2026) as wet‑water, verifiable conservation (not ICS conversion), reinstate First Draft operational tiers to better protect Lake Powell, and improve accounting (evaporation, LTEMP) and limits on reserved authority.","Reclamation must ensure that the SEIS conservation is mandatory and enforceable, as represented in the Lower Division Proposal, so that the Proposed Action Alternative can achieve the purpose and need identified in the Revised Draft SEIS.",https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Government/484_Uppper Colorado River Commission_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
The Arizona Game and Fish Department (Department),2023-08-15,"Requests Reclamation develop alternative operations and infrastructure to reduce establishment of high-risk non-native fish, maintain cold-water releases (<16°C) to protect the Lees Ferry rainbow trout fishery, and consider Lake Mead elevations to protect Pearce Ferry Rapid.",The Department requests that Reclamation develop a full suite of alternative operations and infrastructure enhancements that disadvantage high risk non-native species and reduce their establishment potential.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
The Association,,"Requests the EIS uphold the Law of the River and present perfected rights (PPRs), ensure any stored or conserved water remains junior to PPR holders, avoid penalizing efficient users (e.g., Yuma farmers), and recommend funding for infrastructure and efficiency.","Any post-2026 guidelines and strategies for Lake Mead and Lake Powell should thus adhere to the priority system , respect PPRs , and uphold the Law of the River.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_T-Z_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"The Colorado River Basin States Representatives of Arizona, California, and Nevada",2023-08-15,"The Governors’ Representatives of Arizona, California, and Nevada submit comments on the scope of the Post-2026 EIS, asserting the Lower Division States' unique interest in Colorado River management under the Compact, laws, and agreements.","The Lower Division States have a unique interest in the management of the Colorado River based on the Compact, laws and agreements that have provided",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_G-R_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"The Colorado River Basin States Representatives of Arizona, California, and Nevada",2024-03-06,"Submits the Lower Basin Alternative for NEPA analysis and requests adoption: implement a static 1.5 maf reduction to Lower Basin apportionments and deliveries to Mexico, operate based on total system contents, share reductions broadly (including Upper Basin in extreme conditions), and set Glen Canyon release rules.",This Alternative includes reductions from Lower Basin state apportionments and deliveries to Mexico by 1.5 million acre-feet (maf) (static reduction) under most system conditions.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/alternatives/2024-03-06_Lower_Basin_Alternative_Letter_Submittal_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/alternatives/index.html
"The Colorado River Basin States Representatives of Arizona, California, and Nevada (collectively, the Lower Division States)",2023-12-11,Supports the No Action Alternative and the Lower Division States' Proposed Alternative; opposes inclusion of elements from Alternatives 1 and 2 in the final SEIS and requests the final SEIS clarify those elements will not be included; urges focus on Post-2026 guidelines.,The final SEIS should clarify that elements of Alternatives 1 and 2 will not be included in the preferred alternative.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Government/292_Lower Division States_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
The Colorado River Energy Distributors Association (CREDA),2023-05-21,Supports maintaining a minimum Lake Powell elevation of 3500' and provides comments on the Draft SEIS to protect both water and power deliveries for CREDA members and firm electric service customers.,CREDA supports the objective of maintaining a minimum elevation at Lake Powell of 3500’.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
the Community,,"Requests the EIS manage Lake Powell and Lake Mead to reduce risk, address supply-demand imbalance equitably, expand conservation/storage and augmentation programs (including for Tribes), adopt fair mandatory reductions, and ensure meaningful Nation-to-Nation consultation and protection of Tribal trust responsibilities.",The EIS must identify necessary measures to balance the available water supplies and the uses that rely on the Colorado River.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
The designated representatives of the seven States of the Colorado River Basin,2019-03-19,Ask Congress to pass federal legislation authorizing the Secretary of the Interior to sign and implement the Colorado River Drought Contingency Plan agreements upon execution by non-federal parties; support DCPs and seek no additional Secretary authority.,We hereby request passage of federal legislation that would authorize and direct the Secretary of the Interior to sign and implement the agreements upon execution by the non-federal parties.,https://www.usbr.gov/ColoradoRiverBasin/documents/dcp/DroughtContigencyPlansBasinStates-TransmittalLetter-508-DOI.pdf,https://www.usbr.gov/ColoradoRiverBasin/dcp/index.html
The EcoMedia Compass,,"Requests that the Post-2026 Colorado River EIS fully assess and mitigate impacts to the Salton Sea region, including air and water quality, habitat, environmental justice, Clean Air/Water Act analyses, and creation of an environmental water budget to offset reduced inflows.",The EIS for post 2026 Colorado River operations must include a full assessment of all impacts to the Salton Sea Region.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_T-Z_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
The EcoMedia Compass Board of Directors,,"Requests federal/state/local action to mitigate Salton Sea impacts: groundwater make-up inflows, brackish wellfields, reduced reservoir evaporation, ocean imports, and local aquatic restoration to protect wildlife, public health, and the Pacific Flyway.",Maintain the Salton Sea as a vital link along the Pacific Flyway.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_T-Z_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
The Gadsden Company Sonoran Wines Cruz Farm The Greater Area Kingman Chamber of Commerce The Bullhead City Chamber of Commerce The Greater Flagstaff Area Chamber of Commerce,,"Urges prioritizing long-term stability, predictability, and reliability of Colorado River water supply; value environmental benefits; recognize Tribal roles; move beyond crisis-by-crisis management.",The long-term stability and predictability of Colorado River water supply is the goal,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
The Jicarilla Apache Nation,2023-12-11,"Requests stronger protections for Lake Powell: lower Powell tiers, limit annual releases, eliminate balancing at certain elevations, require fully executed binding conservation contracts, apportion evaporation and transit losses to the Lower Basin, and ensure meaningful tribal consultation.","Specifically, Powell tiers should be adjusted downward, annual releases from Powell should be limited, balancing should be eliminated at certain elevations, and additional steps should be taken to protect Powell.",https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Tribes/116_Jicarilla Apache Nation_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
the Lower Division States,,"Requests Post-2026 EIS ensure reliability under the Law of the River, protect critical elevations at Lakes Powell and Mead, include predictable release criteria, expand voluntary conservation/storage and augmentation options, define mandatory reductions, and consider a Basin States alternative.",The Post-2026 EIS must seek to provide reliability and water -supply certainty to the 40 million people who rely on the Colorado River for their lives and livelihoods.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_G-R_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
The Nature Conservancy; Western Resource Advocates; Environmental Defense Fund; National Audubon Society; Theodore Roosevelt Conservation Partnership; American Rivers; Trout Unlimited,,"Request a transparent, inclusive post-2026 NEPA process that meaningfully engages Tribes, states, conservation stakeholders, and Mexico; incorporates binational and environmental considerations, improved modeling, and flexible, proactive operations to protect communities and ecosystems.","Afford opportunities to work directly with state, Tribal and federal agencies on the NEPA efforts for stakeholders, including the undersigned conservation groups, with a demonstrated commitment and willingness to address the Basin’s water challenges.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
THE NAVAJO NATION,,Asserts the Navajo Nation must be actively and meaningfully involved in development of Post-2026 operational guidelines and reservoir management; rejects notification after decisions and seeks substantive dialogue through Federal-States-Tribes Group.,the Navajo N ation must be active ly a nd meanin gfull y involved in the deve lopment of Post-20 26 Operational Guidelin es and Strategies and the mana gement of r eservoir s in the Colorado River Basin.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
The Navajo Nation,2023-08-15,"Asks for active, meaningful engagement with the Navajo Nation in Post-2026 operations, adequate accounting of impacts, support for development and accounting of unquantified/undeveloped Navajo water rights, and consideration of impacts to energy, water supply, economy, and culture.",It is c riti cal for the avajo Nation to continu e to deve lop its water righ ts.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
the Service,,"Requests the EIS analyze water quality and quantity, update ESA baseline and species data, evaluate full geographic scope and effects on listed species and refuges, model hydrology and temperatures, assess conservation measure effectiveness, and ensure refuge water access and infrastructure operability.",The Service supports Reclamation's approach of analyzing some broad themes related to future operational guidelines in this EIS,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_S-Z_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"the seven Basin States, and water contractors within those states",2019-03-19,"Urges Congress to enact legislation authorizing and requiring the Secretary of the Interior to promptly implement the Basin Drought Contingency Plans, limited to carrying out DCP provisions while preserving existing rights and enabling timely action to protect reservoirs.","the Secretary of the Interior shall, without delay, execute such agreements, and is directed and authorized to carry out the provisions of such agreements and operate applicable Colorado River S ystem reservoirs accordingly",https://www.usbr.gov/ColoradoRiverBasin/documents/dcp/DroughtContigencyPlansBasinStates-TransmittalLetter-508-DOI.pdf,https://www.usbr.gov/ColoradoRiverBasin/dcp/index.html
"The Southern Nevada Water Authority (SNWA), Central Arizona Water Conservation District (CAWCD) and The Metropolitan Water District of Southern California (Metropolitan)",2023-08-15,Joint agencies submit comments on the Notice of Intent for Post-2026 operational guidelines and express support for the Basin States' letters; they appreciate the opportunity to comment and engage in the process.,"The Southern Nevada Water Authority (SNWA), Central Arizona Water Conservation District (CAWCD) and The Metropolitan Water District of Southern California (Metropolitan) appreciate the opportunity to comment on the Notice of Intent",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_G-R_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
THE SOUTHWESTERN WATER CONSERVATION DISTRICT,2023-08-15,Requests NEPA analysis be limited to Lake Powell and Lake Mead operations; use actual hydrology for decisions; recognize differing reservoir roles; adhere to Law of the River; account for Lower Basin losses; equitably distribute climate burdens; support tribal needs and local funding.,Post-2026 operating guidelines must fairly balance the burden of climate change across the entire Colorado River Basin.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_S-Z_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
THE STATE OF COLORADO,,Approves the 2023 Drought Response Operations Plan and directs the Upper Colorado River Commission to forward the final Plan to the Secretary for consideration and approval.,have approved this 2023 Plan and direct the Upper Colorado River Commission to forward this final 2023 Plan to the Secretary for consideration and approval.,https://www.usbr.gov/ColoradoRiverBasin/documents/dcp/DROA/20230517-2023DROAPlan-508-UCRO.pdf,https://www.usbr.gov/ColoradoRiverBasin/dcp/droa.html
"The State of Colorado, acting through the Govern or’s Representative and the Colorado Water Conservation Board (collectively “Colorado”)",,"Requests Post-2026 guidelines that acknowledge climate change, use actual hydrology and short-term forecasting, rebuild and protect storage in Lakes Powell and Mead, ensure fair basin balance, protect state administration rights and Tribal participation, and require substantial Lower Basin reductions (1.2–1.5 MAF).","""New guidelines should better assure operational certainty into the future by reducing the imbalance between supply and uses. This will require permanent Lower Basin reductions of 1.2 million acre -feet to 1.5 million acre -feet each year.""",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
THE STATE OF NEW MEXICO,,Approves the 2023 Drought Response Operations Plan and directs the Upper Colorado River Commission to forward the final Plan to the Secretary for consideration and approval.,have approved this 2023 Plan and direct the Upper Colorado River Commission to forward this final 2023 Plan to the Secretary for consideration and approval.,https://www.usbr.gov/ColoradoRiverBasin/documents/dcp/DROA/20230517-2023DROAPlan-508-UCRO.pdf,https://www.usbr.gov/ColoradoRiverBasin/dcp/droa.html
THE STATE OF UTAH,,Approves the 2023 Drought Response Operations Plan and directs the Upper Colorado River Commission to forward the final Plan to the Secretary for consideration and approval.,have approved this 2023 Plan and direct the Upper Colorado River Commission to forward this final 2023 Plan to the Secretary for consideration and approval.,https://www.usbr.gov/ColoradoRiverBasin/documents/dcp/DROA/20230517-2023DROAPlan-508-UCRO.pdf,https://www.usbr.gov/ColoradoRiverBasin/dcp/droa.html
THE STATE OF WYOMING,,Approves the 2023 Drought Response Operations Plan and directs the Upper Colorado River Commission to forward the final Plan to the Secretary for consideration and approval.,have approved this 2023 Plan and direct the Upper Colorado River Commission to forward this final 2023 Plan to the Secretary for consideration and approval.,https://www.usbr.gov/ColoradoRiverBasin/documents/dcp/DROA/20230517-2023DROAPlan-508-UCRO.pdf,https://www.usbr.gov/ColoradoRiverBasin/dcp/droa.html
The Trust,,"Requests post-2026 guidelines expand beyond Lakes Powell and Mead to prioritize the sustainability and intrinsic value of the Colorado River and its tributaries, incorporate tribal sovereignty and equity, include environmental and cultural values, engage 30 basin tribes, and modify objectives and scope of the EIS.",The post-2026 guidelines must go beyond the operation of Lakes Powell and Mead and include provisions that acknowledge and ensure the sustainability of the Colorado River and its tributaries.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
The Trust,,"Urges Reclamation to complete and affirm an evaporation/seepage study, meaningfully include tribes as equal sovereigns, and coordinate climate resilience planning and other Reclamation actions to inform post-2026 guidelines.",A Reclamation evaporation study needs to be completed and its methods affirmed by the other sovereigns in the basin,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
The Trust,,"Requests integrated timing and coordination of announced actions with post-2026 guidelines; urges worst-case scenario climate resilience planning, reassessment of dam infrastructure, public inclusive processes, and evaluation of storage distribution between Lake Powell and Lake Mead.",We believe that this type of climate resilience planning at Glen Canyon and Hoover Dams is critical and should occur alongside the development of the post-2026 guidelines.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
The undersigned conservation groups and Tribal Nations,2023-08-15,"Ask that post-2026 Guidelines prepare for reduced hydrology, prioritize system stability over maximizing deliveries, protect environmental and Tribal rights, include flexible tools and mitigation, ensure transparency and Tribal coequal participation, and coordinate with parallel processes to build Basin resilience.","The post-2026 Guidelines must prepare for the River we have, not the River we want.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
THE WHITE HOUSE,2022-10-13,"Affirms the Administration's commitment to protecting the environment, cites investments from the Inflation Reduction Act and Bipartisan Infrastructure Law to conserve habitats, reduce emissions, and support clean energy and justice40 goals.",My Administration is making historic progress in our fight to protect our environment and natural resources while creating economic opportunity and ensuring the health of the American people.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Tohono O'odham Nation,2020-11-10,"Requests immediate review of effectiveness of individual elements of the 2007 Interim Guidelines (notably tribal consultation and technical support), arguing the Draft Report should not attribute success solely to later Drought Contingency Plans.","The Nation requests that a review of the effectiveness of individual elements of the Guidelines be undertaken at once, specifically as it relates tribal consultation and technical support.",https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_TON.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/7dreport/draftreport.html
Tohono O'odham Nation,2023-12-08,"The Nation asks Reclamation to fully account for settled and unsettled tribal water rights and broaden its Indian Trust Asset analysis, to ensure the Nation's CAP entitlement and deliveries are protected, funded, and not subject to additional involuntary shortages.",Reclamation must account for settled and unsettled Tribal water rights in analyzing the Revised Draft SEIS.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Tribes/410_Tohono O’odham Nation_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
Tohono O’odham Nation,2023-08-11,Requests Reclamation prioritize tribal trust responsibility; analyze impacts of Post-2026 guidelines on the Nation’s SAWRSA settlement and federal reserved rights; protect or compensate for CAP delivery shortfalls; address groundwater overdraft risks; and engage in government-to-government consultation.,Reclamation must prioritize the tribal trust responsibility; adequately analyze the impact of any proposed alternatives on both the Nation’s existing water settlement and federal reserved rights; and take measures to protect these assets.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Tohono O’odham Nation,2023-08-11,"Requests Reclamation prioritize tribal interests and trust responsibilities: fully analyze and protect Indian Trust Assets (including SAWRSA settlement and unquantified Winters rights), ensure firming obligations and compensation for shortages, and avoid reservoir or shortage strategies that harm tribal water rights.",Reclamation must prioritize the protection of the Nation’s SAWRSA entitlement and the firming resources that supply it,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Tohono O’odham Nation,2023-08-11,"Requests Reclamation correct errors in Post-2026 Guidelines analysis, ensure meaningful government-to-government consultation, incorporate tribal views, and consider impacts on Indian agriculture and trust assets.","The Nation applauds Reclamation’s decision to involve Tribes in the development of the Post-2026 Guidelines, and its engagement with the Nation to date, and looks forward to individual government-to-government consultation going forward.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Tonto A pache,,Requests an additional 130 acre-feet per year for maintenance of a permanent tribal homeland; later the final notice allocated an additional 18 acre-feet.,"The Tribe has requested an additional allocation of 130 acre-feet per year, for maintenance of a permanent tribal homeland.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Total Property Inspections,2022-06-29,"Proposes supplementing Colorado River flows by constructing a pipeline from the Grand Coulee Dam area (or using a 'Big Siphon') to deliver water into the upper Green River system to sustain reservoirs, power, and recreation.",I propose a pipeline from the Grand Coolee Dam area to deliver water into the upper Green River system.,https://www.usbr.gov/ColoradoRiverBasin/documents/Citizen Comments letters 508 compressed_updated_1.30.2023_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/pre-scope/summary-input.html
Total Property Inspections / LV HALOS Softball Club 2000,,Asks that the Colorado River be supplemented (proposes 1–2% of current flow) to provide more water and power for California and encourages outreach via CRB-info contact.,"supplement the Colorado River by 1% of its current flow, 2% would be a solid target.",https://www.usbr.gov/ColoradoRiverBasin/documents/Citizen Comments letters 508 compressed_updated_1.30.2023_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/pre-scope/summary-input.html
TRANSOCEANIC LLC,2023-07-16,Proposes massive water import systems (marine concrete vessels) to bring Mexican Pacific river water as a cost-effective alternative to desalination to solve Colorado River Basin water scarcity.,TRANSOCEANIC (transoceanic.us) massive water import systems are the only real solutions for ending our water scarcity FOREVER.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_T-Z_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Twin Lakes Reservoir and Canal Company,,No policy position visible in this excerpt; only signature/affiliation is shown.,Twin Lakes Reservoir and Canal Company,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
U.S. Environmental Protection Agency,2023-08-15,"Requests climate-oriented, science-based modeling; increased management flexibility, climate adaptation and infrastructure resilience; environmental justice analysis; tribal and Mexico coordination; evaluation of robust alternatives and demand management; and that EPA serve as a cooperating agency.",The EPA respectfully requests to be a cooperating agency to provide support to Reclamation regarding the identification and analysis of issues to be addressed in the Draft EIS.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
U.S. Fish and Wildlife Service,,Requests early coordination in the EIS process to accommodate Section 7 and 10(a)(1)(B) permit timelines; maintain LCR MSCP partnership and conservation lands; reexamine baseline conditions and offer assistance throughout the EIS.,Please include the Service as early as possible so that we can provide input and be responsive to time intensive aspects of project requirements.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_S-Z_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
U.S. Fish and Wildlife Service,,Recommends DRO operations remain within suggested Colorado pikeminnow baseflow release targets after summer to avoid substantially reducing nursery habitats and displacing juvenile pikeminnow.,which is why the U.S. Fish and Wildlife Service recommends Operations remain in the suggested pikeminnow baseflow release targets after summer.,https://www.usbr.gov/ColoradoRiverBasin/documents/dcp/DROA/20230517-2023DROAPlan-508-UCRO.pdf,https://www.usbr.gov/ColoradoRiverBasin/dcp/droa.html
U.S. Fish and Wildlife Service,1980-12-05,"Supports a compromise Trinity River release schedule balancing environmental flows and off-basin uses; proposes specific annual release volumes for normal, dry, and critically dry years to maintain fish habitat.","340,000 acre-feet annual fishery release in normal years; 220,000 acre-feet fishery release in dry years; 140,000 acre-feet fishery release in critically dry years.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
U.S. Fish and Wildlife Service,2023-12-11,"Requests more analysis and information to ensure ESA and National Wildlife Refuge requirements are met: quantify projected minimum releases (flow rate, timing, duration, stage changes); assess downstream impacts to refuges, Salton Sea water levels, salinity, exposed lakebed, wetlands, and listed species; and revise SEIS accordingly.","The Service requests information on the projected minimum releases for the alternatives, including flow rate, seasonal timing, duration, and related river stage elevation decreases.",https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Government/326_US Fish and Wildlife Service_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
U.S. Fish and Wildlife Service and National Park Service,2024-04-29,"Requests Reclamation integrate NPS and USFWS priority concepts into Post‑2026 EIS alternatives: protect native species and water quality, use combined Powell‑Mead storage, prioritize higher Powell elevations and Powell releases, maintain Lake Mead below 1135' where feasible, mimic natural hydrographs, and retain Upper Basin flexibilities.",A critical aspect of our joint concepts and example operational strategies is the use of combined storage of both reservoirs in determining annual releases and potential shortages.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/alternatives/2024-04-29_Joint_NPS_FWS_Letter_Post_2026_Operational_Strategy_for_Alternative_Development_final_signed_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/alternatives/index.html
UFCW Local 135,2023-08-16,"Urges federal action to adopt SEIS recommendation 3 (equal-percentage cuts) to save 2–4 million acre-feet per year, advocates using water/funding for cloud seeding rather than forced fallowing, and criticizes irrigated cash crops' water use.",I suggest that all the water that was once earmarked for California's farmers of the Imperial Irrigation District to fallow their land be used for cloud seeding.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Individuals_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
